epoch,overflow,main,assigned_slots,share_assigned_slots,ok,skipped,invalid,delayed,bad_slots_abs,bad_slots_pct_node,effective_stake,stake_share_pct,effective_stake_next,stake_share_next_pct,delivered_slots_share_pct,coinbase_epoch_TKG,fees_epoch_TKR_at_main,reward_epoch_total_value_TKG_only,coinbase_cum_TKG,fees_cum_TKR_at_main,penalty_slots_residual,penalty_score,forced_invalid_slots_planned,forced_invalid_slots_realized,forced_invalid_share_pct_of_invalid,penalty_gained,penalty_recovery,penalty_tol,residual_prev_dbg,residual_next_dbg
39,OV_1,MAIN_1,9610,40.042,9130,0,480,0,480,4.99,435.5640999910727,39.8949,436.4770999908435,39.8926,38.0417,0.913,0.0,0.913,36.4771,0.1031,0,0.0,480,480,100.0,1536.0,9130.0,192.0,0.0,0.0
39,OV_2,MAIN_2,7147,29.779,7147,0,0,0,0,0.0,328.14449999293515,30.0559,328.85919999275575,30.0566,29.7792,0.7147,0.0,0.7147,28.8592,0.0845,0,0.0,0,0,0.0,0.0,7147.0,142.0,0.0,0.0
39,OV_3,MAIN_3,7243,30.179,7243,0,0,0,0,0.0,328.0710999929536,30.0492,328.79539999277176,30.0508,30.1792,0.7243,0.0,0.7243,28.7954,0.082,0,0.0,0,0,0.0,0.0,7243.0,144.0,0.0,0.0
40,OV_1,MAIN_1,9655,40.229,9173,0,482,0,482,4.99,436.4770999908435,39.8926,437.39439999061324,39.8907,38.2208,0.9173,0.0,0.9173,37.3944,0.1031,0,0.0,482,482,100.0,1542.0,9173.0,193.0,0.0,0.0
40,OV_2,MAIN_2,7143,29.762,7143,0,0,0,0,0.0,328.85919999275575,30.0566,329.57349999257644,30.0573,29.7625,0.7143,0.0,0.7143,29.5735,0.0845,0,0.0,0,0,0.0,0.0,7143.0,142.0,0.0,0.0
40,OV_3,MAIN_3,7202,30.008,7202,0,0,0,0,0.0,328.79539999277176,30.0508,329.515599992591,30.052,30.0083,0.7202,0.0,0.7202,29.5156,0.082,0,0.0,0,0,0.0,0.0,7202.0,144.0,0.0,0.0
41,OV_1,MAIN_1,9580,39.917,9101,0,479,0,479,5.0,437.39439999061324,39.8907,438.3044999903848,39.8881,37.9208,0.9101,0.0,0.9101,38.3045,0.1031,0,0.0,479,479,100.0,1534.0,9101.0,191.0,0.0,0.0
41,OV_2,MAIN_2,7293,30.387,7293,0,0,0,0,0.0,329.57349999257644,30.0573,330.3027999923934,30.0593,30.3875,0.7293,0.0,0.7293,30.3028,0.0845,0,0.0,0,0,0.0,0.0,7293.0,145.0,0.0,0.0
41,OV_3,MAIN_3,7127,29.696,7127,0,0,0,0,0.0,329.515599992591,30.052,330.2282999924121,30.0526,29.6958,0.7127,0.0,0.7127,30.2283,0.082,0,0.0,0,0,0.0,0.0,7127.0,142.0,0.0,0.0
42,OV_1,MAIN_1,9461,39.421,8988,0,473,0,473,5.0,438.3044999903848,39.8881,439.20329999015917,39.8845,37.45,0.8988,0.0,0.8988,39.2033,0.1031,0,0.0,473,473,100.0,1514.0,8988.0,189.0,0.0,0.0
