epoch,overflow,main,assigned_slots,share_assigned_slots,ok,skipped,invalid,delayed,bad_slots_abs,bad_slots_pct_node,effective_stake,stake_share_pct,effective_stake_next,stake_share_next_pct,delivered_slots_share_pct,coinbase_epoch_tkg,fees_epoch_tkr_at_main,reward_epoch_total_value_tkg_only,coinbase_cum_tkg,fees_cum_tkr_at_main,penalty_slots_residual,penalty_score,forced_invalid_slots_planned,forced_invalid_slots_realized,forced_invalid_share_pct_of_invalid,penalty_gained,penalty_recovery,penalty_tol,residual_prev_dbg,residual_next_dbg,ok_rate,scenario,assigned_share,malicious_i,post_t,interaction,time_since_switch
12,OV_1,MAIN_1,201,0.838,151,0,50,0,50,24.88,5.035076749571355,0.797,4.9518102279672,0.781,0.6292,0.0151,0.0001,0.0151,1.8394,0.0004,16030,80.15,50,50,100.0,420.0,151.0,40.0,15761.0,16030.0,0.7512437810945274,2,0.008375,1,0,0,0
12,OV_2,MAIN_2,11710,48.792,11710,0,0,0,0,0.0,313.3720999966433,49.6063,314.5430999963494,49.6113,48.7917,1.171,0.0003,1.171,14.5431,0.0047,0,0.0,0,0,0.0,0.0,11710.0,2342.0,0.0,0.0,1.0,2,0.48791666666666667,0,0,0,0
12,OV_3,MAIN_3,12089,50.371,12089,0,0,0,0,0.0,313.3115999966585,49.5967,314.52049999635506,49.6077,50.3708,1.2089,0.0002,1.2089,14.5205,0.004,0,0.0,0,0,0.0,0.0,12089.0,2417.0,0.0,0.0,1.0,2,0.5037083333333333,0,0,0,0
13,OV_1,MAIN_1,206,0.858,155,0,51,0,51,24.76,4.9518102279672,0.781,4.870083015203713,0.7654,0.6458,0.0155,0.0,0.0155,1.8549,0.0004,16303,81.515,51,51,100.0,428.0,155.0,41.0,16030.0,16303.0,0.7524271844660194,2,0.008583333333333333,1,0,0,0
13,OV_2,MAIN_2,11879,49.496,11879,0,0,0,0,0.0,314.5430999963494,49.6113,315.7309999960512,49.6188,49.4958,1.1879,0.0001,1.1879,15.731,0.0048,0,0.0,0,0,0.0,0.0,11879.0,2375.0,0.0,0.0,1.0,2,0.49495833333333333,0,0,0,0
13,OV_3,MAIN_3,11915,49.646,11915,0,0,0,0,0.0,314.52049999635506,49.6077,315.711999996056,49.6158,49.6458,1.1915,0.0002,1.1915,15.712,0.0042,0,0.0,0,0,0.0,0.0,11915.0,2383.0,0.0,0.0,1.0,2,0.49645833333333333,0,0,0,0
14,OV_1,MAIN_1,178,0.742,134,0,44,0,44,24.72,4.870083015203713,0.7654,4.801580739584574,0.7519,0.5583,0.0134,0.0001,0.0134,1.8683,0.0005,16539,82.69500000000001,44,44,100.0,370.0,134.0,35.0,16303.0,16539.0,0.7528089887640449,2,0.007416666666666667,1,0,0,0
14,OV_2,MAIN_2,11919,49.663,11919,0,0,0,0,0.0,315.7309999960512,49.6188,316.922899995752,49.6257,49.6625,1.1919,0.0003,1.1919,16.9229,0.0051,0,0.0,0,0,0.0,0.0,11919.0,2383.0,0.0,0.0,1.0,2,0.496625,0,0,0,0
14,OV_3,MAIN_3,11903,49.596,11903,0,0,0,0,0.0,315.711999996056,49.6158,316.9022999957572,49.6225,49.5958,1.1903,0.0003,1.1903,16.9023,0.0045,0,0.0,0,0,0.0,0.0,11903.0,2380.0,0.0,0.0,1.0,2,0.49595833333333333,0,0,0,0
15,OV_1,MAIN_1,179,0.746,135,0,44,0,44,24.58,4.801580739584574,0.7519,4.735263343932221,0.7388,0.5625,0.0135,0.0,0.0135,1.8818,0.0005,16774,83.87,44,44,100.0,370.0,135.0,35.0,16539.0,16774.0,0.7541899441340782,2,0.007458333333333333,1,0,0,0
