epoch,overflow,main,assigned_slots,share_assigned_slots,ok,skipped,invalid,delayed,bad_slots_abs,bad_slots_pct_node,effective_stake,stake_share_pct,effective_stake_next,stake_share_next_pct,delivered_slots_share_pct,coinbase_epoch_tkg,fees_epoch_tkr_at_main,reward_epoch_total_value_tkg_only,coinbase_cum_tkg,fees_cum_tkr_at_main,penalty_slots_residual,penalty_score,forced_invalid_slots_planned,forced_invalid_slots_realized,forced_invalid_share_pct_of_invalid,penalty_gained,penalty_recovery,penalty_tol,residual_prev_dbg,residual_next_dbg,ok_rate,scenario,assigned_share,malicious_i,post_t,interaction,time_since_switch
14,OV_3,MAIN_3,7176,29.9,7163,13,0,0,13,0.18,310.07669999747054,30.0014,310.79299999729074,30.0011,29.8458,0.7163,0.0,0.7163,10.793,0.0,0,0.0,0,0,0.0,0.0,0.0,143.52,0.0,0.0,0.9981884057971014,1,0.299,,,,
15,OV_1,MAIN_1,9675,40.312,9671,4,0,0,4,0.04,414.37909999639055,40.0004,415.3461999961478,40.0011,40.2958,0.9671,0.0,0.9671,15.3462,0.0,0,0.0,0,0,0.0,0.0,0.0,193.5,0.0,0.0,0.9995865633074935,1,0.403125,,,,
15,OV_2,MAIN_2,7122,29.675,7118,4,0,0,4,0.06,310.76629999729744,29.9985,311.4780999971188,29.9978,29.6583,0.7118,0.0,0.7118,11.4781,0.0,0,0.0,0,0,0.0,0.0,0.0,142.44,0.0,0.0,0.9994383600112328,1,0.29675,,,,
15,OV_3,MAIN_3,7203,30.012,7192,0,11,0,11,0.15,310.79299999729074,30.0011,311.5121999971102,30.0011,29.9667,0.7192,0.0,0.7192,11.5122,0.0,0,0.0,0,0,0.0,0.0,0.0,144.06,0.0,0.0,0.9984728585311675,1,0.300125,,,,
16,OV_1,MAIN_1,9598,39.992,9534,61,3,0,64,0.67,415.3461999961478,40.0011,416.29959999590847,40.0007,39.725,0.9534,0.0,0.9534,16.2996,0.0,0,0.0,0,0,0.0,0.0,0.0,191.96,0.0,0.0,0.9933319441550323,1,0.39991666666666664,,,,
16,OV_2,MAIN_2,7113,29.637,7113,0,0,0,0,0.0,311.4780999971188,29.9978,312.1893999969402,29.9972,29.6375,0.7113,0.0,0.7113,12.1894,0.0,0,0.0,0,0,0.0,0.0,0.0,142.26,0.0,0.0,1.0,1,0.296375,,,,
16,OV_3,MAIN_3,7289,30.371,7289,0,0,0,0,0.0,311.5121999971102,30.0011,312.24109999692723,30.0021,30.3708,0.7289,0.0,0.7289,12.2411,0.0,0,0.0,0,0,0.0,0.0,0.0,145.78,0.0,0.0,1.0,1,0.30370833333333336,,,,
17,OV_1,MAIN_1,9688,40.367,9677,11,0,0,11,0.11,416.29959999590847,40.0007,417.2672999956656,40.0015,40.3208,0.9677,0.0,0.9677,17.2673,0.0,0,0.0,0,0,0.0,0.0,0.0,193.76,0.0,0.0,0.9988645747316267,1,0.4036666666666667,,,,
17,OV_2,MAIN_2,7244,30.183,7242,0,2,0,2,0.03,312.1893999969402,29.9972,312.9135999967584,29.9976,30.175,0.7242,0.0,0.7242,12.9136,0.0,0,0.0,0,0,0.0,0.0,0.0,144.88,0.0,0.0,0.999723909442297,1,0.30183333333333334,,,,
17,OV_3,MAIN_3,7068,29.45,7064,2,2,0,4,0.06,312.24109999692723,30.0021,312.9474999967499,30.0009,29.4333,0.7064,0.0,0.7064,12.9475,0.0,0,0.0,0,0,0.0,0.0,0.0,141.36,0.0,0.0,0.9994340690435767,1,0.2945,,,,
18,OV_1,MAIN_1,9540,39.75,9500,14,0,26,40,0.42,417.2672999956656,40.0015,418.2172999954271,40.0008,39.5833,0.95,0.0,0.95,18.2173,0.0,0,0.0,0,0,0.0,0.0,0.0,190.8,0.0,0.0,0.9958071278825996,1,0.3975,,,,
18,OV_2,MAIN_2,7322,30.508,7319,0,0,3,3,0.04,312.9135999967584,29.9976,313.6454999965747,29.9989,30.4958,0.7319,0.0,0.7319,13.6455,0.0,0,0.0,0,0,0.0,0.0,0.0,146.44,0.0,0.0,0.9995902758809069,1,0.3050833333333333,,,,
18,OV_3,MAIN_3,7138,29.742,7120,0,0,18,18,0.25,312.9474999967499,30.0009,313.6594999965712,30.0003,29.6667,0.712,0.0,0.712,13.6595,0.0,0,0.0,0,0,0.0,0.0,0.0,142.76,0.0,0.0,0.9974782852339591,1,0.29741666666666666,,,,
19,OV_1,MAIN_1,9451,39.379,9443,0,8,0,8,0.08,418.2172999954271,40.0008,419.1615999951901,39.9994,39.3458,0.9443,0.0,0.9443,19.1616,0.0,0,0.0,0,0,0.0,0.0,0.0,189.02,0.0,0.0,0.9991535287271188,1,0.39379166666666665,,,,
19,OV_2,MAIN_2,7193,29.971,7180,13,0,0,13,0.18,313.6454999965747,29.9989,314.36349999639447,29.9988,29.9167,0.718,0.0,0.718,14.3635,0.0,0,0.0,0,0,0.0,0.0,0.0,143.86,0.0,0.0,0.998192687334909,1,0.29970833333333335,,,,
19,OV_3,MAIN_3,7356,30.65,7346,0,0,10,10,0.14,313.6594999965712,30.0003,314.3940999963868,30.0018,30.6083,0.7346,0.0,0.7346,14.3941,0.0,0,0.0,0,0,0.0,0.0,0.0,147.12,0.0,0.0,0.9986405655247417,1,0.3065,,,,
